,from,to
0,general,multithreading and concurrency
1,multithreading and concurrency,operation
2,general,information system
3,information system,elearning
4,general,education
5,education,elearning
6,general,app component
7,app component,service
8,general,economics
9,economics,sale
10,general,project
11,project,target
12,general,activity
13,activity,task
14,general,machine learning
15,machine learning,training
16,general,programming language
17,programming language,c
18,general,sale
19,sale,customer service
